Density,Numerical_integration,Saddle_point,NNLO
9.25,0.00015881260907764724,,6.837952488408832e-05
9.3,0.00015183951056856358,,6.730173334557414e-05
9.35,0.00014517867123800337,,6.61347253813673e-05
9.4,0.0001388157935502377,,6.4892834661115e-05
9.450000000000001,0.00013273725117589542,,6.358892346933399e-05
9.5,0.00012693005659212775,,6.223451882460444e-05
9.55,0.00012138183029550975,,6.083993626604342e-05
9.600000000000001,0.00011608077154467198,,5.9414392438896955e-05
9.65,0.00011101563055409808,,5.796610750411419e-05
9.700000000000001,0.00010617568206468664,,5.6502398300288715e-05
9.75,0.00010155070022063274,,5.5029763099307185e-05
9.8,9.713093468593268e-05,,5.355395871846358e-05
9.850000000000001,9.29070879373224e-05,,5.2080070680830346e-05
9.9,8.887029367380624e-05,,5.061257705154431e-05
9.950000000000001,8.50120962860781e-05,,4.915540651969142e-05
10.0,8.132443133212722e-05,,4.771199124304e-05
10.05,7.77996069681259e-05,,4.6285314925420135e-05
10.100000000000001,7.443028628636495e-05,,4.487795655359971e-05
10.15,7.120947051452443e-05,,4.349213018160401e-05
10.200000000000001,6.813048303294958e-05,,4.2129721115182774e-05
10.25,6.518695416885442e-05,,4.0792318817183515e-05
10.3,6.237280672850254e-05,,3.948124682561968e-05
10.350000000000001,5.96822422304511e-05,,3.819758994994897e-05
10.4,5.710972780482898e-05,,3.694221898722748e-05
10.450000000000001,5.464998372544824e-05,,3.571581317816031e-05
10.5,5.229797154324579e-05,,3.451888060341047e-05
10.55,5.004888279117952e-05,,3.335177670266647e-05
10.600000000000001,4.7898128232229856e-05,,3.2214721082742216e-05
10.65,4.58413276236165e-05,,3.110781276622522e-05
10.700000000000001,4.3874299971709114e-05,,3.00310440187743e-05
10.75,4.1993054253415755e-05,,2.898431288096259e-05
10.8,4.019378058106668e-05,,2.7967434519454016e-05
10.850000000000001,3.8472841788978394e-05,,2.698015150219592e-05
10.9,3.6826765420988875e-05,,2.602214309310389e-05
10.950000000000001,3.525223609930737e-05,,2.5093033653334905e-05
11.0,3.374608825601321e-05,,2.419240022860831e-05
11.05,3.230529920947921e-05,,2.331977939507727e-05
11.100000000000001,3.092698256889287e-05,,2.247467342991071e-05
11.15,2.96083819508892e-05,,2.165655586696579e-05
11.200000000000001,2.8346864993115966e-05,,2.0864876492658243e-05
11.25,2.7139917650311355e-05,,2.0099065832330986e-05
11.3,2.5985138759192758e-05,,1.9358539173033437e-05
11.350000000000001,2.4880234859146744e-05,,1.8642700164623737e-05
11.4,2.382301525635058e-05,,1.7950944037451672e-05
11.450000000000001,2.281138731957668e-05,,1.7282660471547277e-05
11.5,2.1843351996515666e-05,,1.663723614919629e-05
11.55,2.0916999540001417e-05,,1.601405702000325e-05
11.600000000000001,2.0030505434057203e-05,,1.541251030500663e-05
11.65,1.9182126510169725e-05,,1.4831986264090409e-05
11.700000000000001,1.837019724467969e-05,,1.4271879748819988e-05
11.75,1.759312622862281e-05,,1.3731591560895392e-05
11.8,1.684939280178111e-05,,1.3210529634646116e-05
11.850000000000001,1.6137543843113015e-05,,1.270811006037814e-05
11.9,1.5456190710108756e-05,,1.2223757963905614e-05
11.950000000000001,1.480400631998863e-05,,1.1756908256251942e-05
12.0,1.417972236600487e-05,,1.1307006266271244e-05
12.05,1.3582126662436503e-05,,1.0873508267813707e-05
12.100000000000001,1.3010060612180816e-05,,1.0455881912028471e-05
12.15,1.246241679114075e-05,,1.0053606574455842e-05
12.200000000000001,1.1938136643889625e-05,,9.666173625699118e-06
12.25,1.1436208285361952e-05,,9.293086633679875e-06
12.3,1.0955664403574605e-05,,8.933861504760981e-06
12.350000000000001,1.0495580258622837e-05,,8.588026570363648e-06
12.4,1.0055071773426848e-05,,8.255122625104234e-06
12.450000000000001,9.63329371192183e-06,,7.93470292192673e-06
12.5,9.229437940591932e-06,,7.626333129205131e-06
12.55,8.842731769446453e-06,,7.329591254330554e-06
12.600000000000001,8.472436368723371e-06,,7.044067537879382e-06
12.65,8.117845257783268e-06,,6.7693643220750834e-06
12.700000000000001,7.778282862827342e-06,,6.505095896906763e-06
12.75,7.453103140232121e-06,,6.250888326948145e-06
12.8,7.141688262448978e-06,,6.006379261628338e-06
12.850000000000001,6.843447363560397e-06,,5.7712177314400175e-06
12.9,6.557815341723982e-06,,5.545063932326958e-06
12.950000000000001,6.284251715867406e-06,,5.3275890002713465e-06
